epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8195,0.76568,1.34199,1.05344,0.92674,0.95399,0.95115,0.79562,0.66756,0.67107,0.93965,0.000329825,0.000329825,0.000329825
2,39.0399,0.72636,0.68037,0.99433,0.94723,0.95993,0.96675,0.82987,0.65142,0.57324,0.92237,0.000656593,0.000656593,0.000656593
3,57.3007,0.72062,0.63538,0.98877,0.89902,0.91219,0.95872,0.81044,0.64109,0.65989,0.9264,0.000976761,0.000976761,0.000976761
4,75.2774,0.71403,0.58233,0.98688,0.92988,0.92132,0.96816,0.84016,0.60998,0.50888,0.90183,0.0009703,0.0009703,0.0009703
5,93.5169,0.67837,0.55911,0.97589,0.86717,0.96257,0.9538,0.80626,0.65634,0.54951,0.93702,0.0009604,0.0009604,0.0009604
6,111.985,0.68517,0.54815,0.98313,0.91685,0.93681,0.95018,0.83132,0.57827,0.50354,0.90455,0.0009505,0.0009505,0.0009505
7,130.139,0.66504,0.52137,0.97539,0.95507,0.96733,0.96571,0.83118,0.62625,0.44295,0.91251,0.0009406,0.0009406,0.0009406
8,148.079,0.66608,0.52401,0.97162,0.96455,0.96473,0.96945,0.85079,0.57407,0.44354,0.9003,0.0009307,0.0009307,0.0009307
9,166.651,0.645,0.49695,0.96011,0.95197,0.97291,0.96979,0.84241,0.62919,0.42189,0.90705,0.0009208,0.0009208,0.0009208
10,186.582,0.63699,0.47885,0.95209,0.96478,0.97146,0.97101,0.8485,0.55835,0.4004,0.88937,0.0009109,0.0009109,0.0009109
11,206.322,0.64609,0.50738,0.96838,0.965,0.96153,0.98008,0.86539,0.5504,0.38924,0.89571,0.000901,0.000901,0.000901
12,225.859,0.64134,0.475,0.96142,0.96268,0.97,0.9821,0.86038,0.57226,0.39429,0.9048,0.0008911,0.0008911,0.0008911
13,244.969,0.63047,0.47247,0.96991,0.96609,0.96753,0.97985,0.86533,0.54669,0.37002,0.89473,0.0008812,0.0008812,0.0008812
14,263.683,0.6251,0.45344,0.95162,0.95587,0.96752,0.98225,0.86796,0.56295,0.38316,0.89756,0.0008713,0.0008713,0.0008713
15,282.614,0.60836,0.45783,0.94828,0.94162,0.98007,0.98419,0.87053,0.55223,0.37541,0.89352,0.0008614,0.0008614,0.0008614
16,301.431,0.6116,0.45386,0.94792,0.954,0.97066,0.97053,0.866,0.51965,0.36905,0.88099,0.0008515,0.0008515,0.0008515
17,319.899,0.60343,0.44857,0.94923,0.95955,0.97251,0.985,0.87787,0.54146,0.3577,0.88506,0.0008416,0.0008416,0.0008416
