epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2999.47,0.92797,1.80127,1.11522,0.75751,0.75617,0.74221,0.59757,0.80378,0.96794,1.04768,9.25333e-05,9.25333e-05,9.25333e-05
2,6068.32,0.83758,0.82919,1.04425,0.82712,0.80809,0.81551,0.65468,0.78096,0.81978,1.0271,0.000172977,0.000172977,0.000172977
3,9175.04,0.81825,0.75523,1.0351,0.75919,0.78921,0.80172,0.64672,0.77212,0.78729,1.0103,0.000241188,0.000241188,0.000241188
4,11139.7,0.80725,0.70037,1.0298,0.80133,0.87804,0.84398,0.67752,0.77799,0.67225,1.0184,0.000222956,0.000222956,0.000222956
5,12149.7,0.78122,0.64272,1.01552,0.80641,0.89342,0.86736,0.70705,0.74176,0.63312,1.00195,0.000204608,0.000204608,0.000204608
6,13149.8,0.71226,0.54248,0.9851,0.80326,0.88594,0.83676,0.67756,0.73423,0.6618,0.99068,0.00018626,0.00018626,0.00018626
7,14128.2,0.69976,0.51419,0.98128,0.81657,0.90107,0.88749,0.71865,0.72618,0.6327,0.98746,0.000167912,0.000167912,0.000167912
8,15094.4,0.68587,0.47493,0.96598,0.79636,0.89743,0.85449,0.70179,0.71588,0.5737,0.9825,0.000149564,0.000149564,0.000149564
9,16114.4,0.66962,0.45409,0.95791,0.80946,0.88138,0.85082,0.70712,0.69709,0.58926,0.96912,0.000131216,0.000131216,0.000131216
10,17086.8,0.65451,0.43627,0.94939,0.81907,0.86581,0.86822,0.72241,0.6839,0.58722,0.96692,0.000112868,0.000112868,0.000112868
11,18076.9,0.64715,0.41689,0.94926,0.82289,0.87613,0.86272,0.71809,0.68709,0.57285,0.96746,9.452e-05,9.452e-05,9.452e-05
12,19053.8,0.63362,0.39902,0.94012,0.82289,0.87821,0.85792,0.71116,0.67028,0.53544,0.95787,7.6172e-05,7.6172e-05,7.6172e-05
13,20027.4,0.62408,0.38852,0.93746,0.82688,0.90215,0.88421,0.74145,0.66451,0.5362,0.95089,5.7824e-05,5.7824e-05,5.7824e-05
14,21018.2,0.61405,0.37627,0.93014,0.83782,0.9152,0.90984,0.75727,0.6623,0.51253,0.95009,3.9476e-05,3.9476e-05,3.9476e-05
15,22000.5,0.6034,0.36292,0.92711,0.85745,0.88377,0.89918,0.74965,0.65695,0.52535,0.94747,2.1128e-05,2.1128e-05,2.1128e-05
